,X,YYYY.MM.DD,HH.mm.SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
705,134,6/2/40,13:12.3,le,4.36,l,34.038,-116.41,6,C,3365329,9,0
706,135,6/4/40,35:08.1,le,5.03,l,32.966,-116.315,6,D,3365330,8,0
707,136,6/4/40,36:29.7,le,4.31,l,32.967,-116.3,6,C,3365331,2,0
719,148,6/6/40,21:17.5,le,4.19,l,33.969,-116.38,6,C,3365344,7,0
723,152,6/6/40,56:39.0,le,4.32,l,33.97,-116.344,6,D,3365348,10,0
727,156,6/7/40,14:01.3,le,4.27,l,32.75,-115.5,6,D,3365352,6,0
737,166,6/11/40,51:19.9,le,4.35,l,34.043,-116.349,6,C,3365362,8,0
779,208,7/21/40,36:02.5,le,4.25,l,33.098,-115.869,6,D,3365409,10,0
791,220,8/13/40,07:27.1,re,4.02,l,36.289,-120.574,6,D,3365425,10,0
820,249,10/6/40,19:52.9,le,4.12,l,33.175,-115.941,6,C,3365459,10,0
828,257,10/11/40,57:13.5,le,4.7,l,33.778,-118.472,6,C,3365468,12,0
840,269,10/21/40,49:33.8,le,4.06,l,33.176,-116.41,6,C,3365482,13,0
844,273,11/1/40,25:04.4,le,4.18,l,33.843,-118.465,6,C,3365487,9,0
910,34,2/23/41,36:14.3,le,4.29,l,33.515,-116.434,6,C,3365567,15,0
961,85,6/4/41,47:19.9,le,4.02,l,35.405,-119.251,6,C,3365625,15,0
978,102,7/1/41,50:57.0,le,5.47,l,34.329,-119.564,9.6,D,3365643,8,0
986,110,7/1/41,18:58.8,le,4.09,l,34.209,-119.663,18,D,3365651,7,0
1003,127,7/1/41,53:42.4,le,4.54,l,34.254,-119.664,9.7,D,3365668,10,0
1018,142,7/12/41,18:53.0,le,4.68,l,34.173,-119.591,6,C,3365685,12,0
1030,154,7/22/41,52:05.6,le,4.26,l,32.75,-115.45,6,D,3365699,8,0
1058,182,9/8/41,12:45.1,le,4.4,l,34.323,-119.68,18,D,3365731,7,0
1068,192,9/15/41,37:01.9,le,4.17,l,34.15,-119.633,6,D,3365748,4,0
1074,198,9/21/41,53:08.8,le,5.1,l,34.838,-118.933,6,C,3365754,11,0
1093,217,10/22/41,57:19.0,le,4.69,l,33.811,-118.301,0.2,C,3365787,8,0
1095,219,11/1/41,23:31.6,le,4.15,l,32.573,-115.654,6,C,3365798,12,0
1099,223,11/14/41,41:37.6,le,5.12,l,33.791,-118.264,6,C,3365807,10,0
1103,227,11/18/41,08:08.3,le,4.06,l,34.172,-119.643,6,C,3365814,7,0
1105,229,11/21/41,56:02.6,le,4.25,l,34.212,-119.624,9.9,D,3365816,7,0
1123,247,12/24/41,30:08.7,le,4.59,l,32.37,-115.962,6,C,3365838,8,0
1144,20,1/24/42,40:46.0,le,4.08,l,32.611,-118.003,6,C,3365879,6,0
1154,30,2/1/42,18:28.8,le,4.6,l,34.419,-116.813,6,C,3365890,13,0
1156,32,2/1/42,03:34.4,le,4.39,l,34.415,-116.793,6,C,3365892,9,0
1169,45,2/27/42,08:57.8,le,4.03,l,34.353,-116.852,6,C,3365912,13,0
1175,51,3/3/42,03:25.8,le,4.82,l,34.001,-115.847,6,C,3365922,12,0
1230,106,5/23/42,47:33.8,le,4.87,l,32.995,-116.25,6,C,3365989,13,0
1248,124,6/9/42,06:35.9,le,4.05,l,33.363,-116.4,11.6,C,3366010,19,0
1273,149,8/7/42,15:34.5,le,4.62,l,34.248,-116.37,6,C,3366044,15,0
1290,166,9/3/42,06:01.3,le,4.36,l,34.617,-118.992,20,C,3366067,14,0
1291,167,9/4/42,34:33.0,le,4.53,l,34.664,-118.983,20,C,3366068,12,0
1299,175,9/20/42,14:07.7,le,4.15,l,34.259,-116.368,6,C,3366079,16,0
1316,192,10/21/42,22:12.0,le,6.6,w,32.975,-115.785,6,C,3366099,17,0
1317,193,10/21/42,25:16.2,le,4.61,l,32.953,-115.675,6,C,3366100,5,0
1318,194,10/21/42,26:57.1,le,4.5,l,32.941,-116.044,6,C,3366101,7,0
1319,195,10/21/42,34:42.7,le,4.3,l,32.962,-116.062,6,C,3366102,7,0
1320,196,10/21/42,38:08.0,le,4.46,l,32.951,-115.961,6,C,3366103,8,0
1321,197,10/21/42,10:30.8,le,4.48,l,32.854,-116.07,6,C,3366104,12,0
1322,198,10/21/42,49:34.2,le,4.1,l,32.909,-116.307,6,D,3366105,12,0
1324,200,10/22/42,50:37.1,le,5.63,l,33.266,-115.572,6,C,3366107,17,0
1325,201,10/22/42,02:07.3,le,4.42,l,33.35,-115.488,6,C,3366108,12,0
1330,206,10/22/42,13:27.7,le,4.68,l,32.935,-116.001,6,C,3366113,10,0
1336,212,10/26/42,02:18.4,le,4.16,l,33.288,-115.828,6,D,3366119,15,0
1341,217,10/29/42,56:03.0,le,4.41,l,33.059,-116.07,6,D,3366124,16,0
1342,218,10/29/42,21:57.0,le,4.47,l,32.957,-115.913,6,D,3366125,14,0
1344,220,10/29/42,51:08.5,le,4.14,l,33.032,-116.16,6,C,3366129,15,0
1345,221,10/30/42,35:49.8,le,4.37,l,33.045,-116.152,6,C,3366131,20,0
1346,222,10/31/42,51:10.1,re,4.09,l,35.844,-120.401,6,D,3366132,16,0
1351,227,11/2/42,59:38.7,le,4.47,l,32.831,-115.641,6,C,3366137,17,0
1352,228,11/3/42,06:30.0,le,4.4,l,32.947,-115.924,6,D,3366139,14,0
1353,229,11/3/42,18:42.2,le,4.01,l,32.923,-116.064,6,C,3366140,13,0
1357,233,11/7/42,39:08.4,le,4.01,l,32.836,-116.086,6,D,3366147,13,0
1358,234,11/9/42,34:25.6,le,4.11,l,34.858,-116.092,6,C,3366148,11,0
1360,236,11/12/42,07:34.8,le,4.17,l,32.822,-115.817,6,C,3366150,12,0
1361,237,11/12/42,56:05.0,le,4.2,l,32.174,-116.179,6,D,3366151,14,0
1400,0,1/2/43,11:18.5,le,4.43,l,33.432,-116.396,6,C,3366197,20,0
1458,58,3/17/43,40:41.1,le,4.6,l,32.428,-115.27,6,D,3366263,17,0
1520,120,6/18/43,15:50.1,le,4.33,l,33.212,-116.262,6,C,3366330,17,0
1561,161,8/29/43,45:14.3,le,5.28,l,34.268,-116.968,6,C,3366373,13,0
1562,162,8/29/43,57:56.0,le,4.04,l,34.208,-116.99,6,C,3366374,16,0
1571,171,9/16/43,52:22.2,le,4.31,l,35.998,-117.763,0.2,B,3366383,19,0
1589,189,10/14/43,28:44.7,le,4.38,l,34.364,-116.85,6,C,3366402,15,0
1591,191,10/15/43,50:02.5,le,4.21,l,34.363,-116.854,6,C,12277739,20,0
1604,204,10/31/43,12:10.4,le,4.26,l,33.804,-116.147,6,C,3366418,17,0
1607,207,11/2/43,47:58.8,le,4.14,l,32.937,-115.892,6,C,3366422,13,0
1612,212,11/2/43,50:45.0,le,4.39,l,32.91,-116.145,6,C,3366427,13,0
1625,225,11/17/43,28:41.9,le,4.4,l,34.038,-116.672,6,C,3366443,18,0
1630,230,11/30/43,57:12.9,re,4.04,l,36.664,-121.298,6,D,3366448,9,0
1638,238,12/22/43,50:28.6,le,5.11,l,34.37,-115.819,6,C,3366459,19,0
1710,67,6/10/44,11:50.4,le,4.41,l,33.992,-116.783,6,C,3366538,24,0
1715,72,6/12/44,45:34.7,le,5.06,l,33.989,-116.731,6,C,3366543,20,0
1718,75,6/12/44,16:35.8,le,5.24,l,34.002,-116.699,6,C,3366546,18,0
1724,81,6/12/44,21:19.3,le,4.04,l,33.984,-116.682,6,C,3366552,20,0
1726,83,6/13/44,27:33.9,le,4.38,l,35.035,-120.182,6,C,3366556,18,0
1728,85,6/13/44,07:24.6,le,4.4,l,34.175,-120.597,6,C,3366557,19,0
1741,98,6/19/44,03:34.2,le,4.36,l,33.882,-118.249,0,C,3366571,16,0
1742,99,6/19/44,06:07.3,le,4.31,l,33.879,-118.296,1,C,3366572,20,0
1757,114,7/3/44,38:24.0,le,4.57,l,35.368,-117.847,6,C,3366587,20,0
1786,143,8/25/44,30:25.8,le,4.04,l,33.871,-116.731,6,D,3366619,13,0
1818,175,10/26/44,54:15.8,le,4.02,l,33.283,-116.341,6,C,3363015,10,0
1820,177,10/28/44,30:17.2,le,4.22,l,34.015,-116.757,6,C,3362597,16,0
1862,219,12/23/44,16:21.4,le,4.55,l,36.553,-117.44,6,C,3360996,18,0
1902,37,3/1/45,19:58.7,le,4.25,l,32.028,-116.134,6,D,10084814,14,0
1912,47,3/20/45,55:08.2,le,4.87,l,34.238,-116.141,6,C,3360727,22,0
1916,51,3/29/45,04:20.7,le,4.14,l,34.151,-116.233,6,C,3360905,20,0
1919,54,4/1/45,43:45.4,le,4.94,l,34.127,-119.823,0.1,C,3360909,20,0
1934,69,4/18/45,58:03.8,le,4.27,l,34.364,-116.972,6,C,3360925,17,0
1937,72,4/22/45,45:53.2,re,4.19,l,32,-114.8,6,D,10084834,13,0
1938,73,4/22/45,14:00.1,re,4.39,l,32,-114.5,6,D,10084838,9,0
1983,118,8/15/45,56:18.4,le,5.77,l,33.082,-115.631,6,C,3360494,13,0
2001,136,9/7/45,24:20.6,re,4.01,l,35.879,-120.68,6,D,10084878,10,0
2002,137,9/7/45,34:24.6,le,4.24,l,33.992,-116.765,6,C,3360285,20,0
2043,2,1/8/46,54:19.6,le,5.33,l,33.111,-116.001,6,D,3360124,14,0
2048,7,1/16/46,06:59.7,le,4.04,l,32.831,-115.936,6,C,3360133,16,0
2077,36,3/15/46,21:01.9,le,5.43,l,35.723,-117.941,6,C,3360172,12,0
2078,37,3/15/46,49:37.1,le,6.3,h,35.702,-117.944,6,C,3360174,10,0
2079,38,3/15/46,00:36.7,le,5.19,l,35.691,-117.75,6,C,3360176,11,0
2080,39,3/15/46,00:10.2,le,4.39,l,35.787,-117.753,6,C,3360179,13,0
2082,41,3/15/46,18:54.8,le,5.43,l,35.678,-117.82,6,C,3360181,13,0
2083,42,3/15/46,54:35.1,le,5.04,l,35.697,-118.052,6,D,3360183,11,0
2084,43,3/15/46,54:02.0,le,4.2,h,35.667,-117.8,6,Z,10084918,3,0
2094,53,3/16/46,46:18.7,le,4.83,l,35.703,-118.102,0.5,C,3360191,15,0
2095,54,3/16/46,07:05.0,le,4.1,h,35.733,-118.033,6,Z,10084946,2,0
2107,66,3/17/46,03:48.5,le,4.15,l,35.636,-117.824,6,C,3360200,10,0
2108,67,3/17/46,16:36.8,le,4.12,l,35.649,-117.857,6,D,3360202,9,0
2120,79,3/18/46,15:09.0,le,4.1,h,35.733,-118.033,6,Z,10085046,2,0
2122,81,3/18/46,00:22.0,le,4.1,h,35.733,-118.033,6,Z,10085054,2,0
2127,86,3/18/46,05:56.0,le,4.58,l,35.75,-117.709,6,D,3360215,12,0
2130,89,3/18/46,49:26.7,le,4.6,l,35.76,-117.889,6,C,3360219,11,0
2131,90,3/18/46,50:42.8,le,5.24,l,35.779,-117.778,6,D,3360225,10,0
2133,92,3/18/46,03:46.0,le,4.1,h,35.733,-118.033,6,Z,10085086,3,0
2165,124,3/24/46,00:03.9,le,4.11,l,35.73,-117.72,6,C,3359775,16,0
2172,131,3/25/46,36:46.2,le,4.06,l,35.653,-117.921,6,C,3359807,17,0
2225,184,4/28/46,31:24.0,le,4.19,l,34.006,-115.668,6,C,3360090,16,0
2266,225,6/4/46,05:26.7,le,4.7,l,33.986,-115.704,6,C,3359625,16,0
2269,228,6/5/46,59:33.4,le,4.31,l,35.628,-118.232,6,C,3359628,18,0
2281,240,6/15/46,46:50.9,le,4.75,l,32.207,-116.259,31.8,D,3359639,15,0
2324,283,7/18/46,27:58.0,le,5.51,l,34.502,-115.915,6,C,3359696,18,0
2333,292,7/24/46,19:09.5,le,4.08,l,35.136,-119.145,6,C,3359716,13,0
2369,328,8/30/46,16:44.5,le,4.5,l,33.09,-115.595,6,C,3359561,18,0
2389,348,9/28/46,19:10.4,le,4.87,l,33.935,-116.867,12.8,B,3359589,13,0
2432,391,11/27/46,44:49.0,re,4.16,l,35.746,-120.933,6,D,3359210,14,0
2487,35,2/6/47,20:41.6,le,4.55,l,35.66,-117.854,6,C,3358855,21,0
2550,98,4/2/47,15:35.4,le,4.28,l,32.559,-115.101,6,D,12277775,12,0
2555,103,4/10/47,58:05.1,le,6.5,w,34.983,-116.531,6,C,3358945,12,0
2556,104,4/10/47,03:00.3,le,5,l,35.017,-116.719,6,C,3358946,11,0
2570,118,4/10/47,12:17.3,le,4.41,l,34.916,-116.433,6,C,3358948,18,0
2571,119,4/10/47,13:23.0,le,4.14,l,34.933,-116.517,6,Z,10085398,0,0
2572,120,4/10/47,18:21.1,le,4.8,l,34.972,-116.429,6,C,3358953,22,0
2576,124,4/10/47,27:58.1,le,4.3,l,34.968,-116.513,6,C,3358955,17,0
2595,143,4/10/47,27:22.9,le,4.08,l,34.903,-116.488,6,C,3358959,28,0
2599,147,4/11/47,07:12.0,le,4.1,l,34.914,-116.494,6,C,3358960,27,0
2604,152,4/11/47,32:10.8,le,4.1,l,34.926,-116.54,6,C,3358972,24,0
2607,155,4/11/47,47:08.8,le,4.99,l,34.959,-116.526,6,C,3358974,33,0
2631,179,4/12/47,48:52.2,le,4.11,l,34.913,-116.482,6,C,3358357,18,0
2653,201,4/19/47,29:09.1,le,4.51,l,34.958,-116.562,6,C,3358384,27,0
2663,211,4/21/47,15:29.4,le,4.38,l,34.93,-116.478,6,C,3358421,23,0
2719,267,5/11/47,06:20.9,le,4.66,l,34.306,-116.192,6,C,3358488,22,0
2801,349,7/14/47,40:07.6,le,4.01,l,35.895,-119.801,6,C,3358663,20,0
2815,363,7/24/47,53:58.8,le,4.05,l,33.265,-119.765,6,C,3358687,13,0
2818,366,7/24/47,10:46.8,le,5.3,l,33.994,-116.481,6,C,3358693,17,0
2820,368,7/24/47,53:41.6,le,4.05,l,34.001,-116.434,6,C,3358698,15,0
2821,369,7/24/47,54:28.1,le,4.69,l,33.91,-116.517,6,C,3358700,13,0
2826,374,7/25/47,46:30.7,le,4.82,l,34.064,-116.415,6,C,3358709,18,0
2830,378,7/25/47,56:47.9,le,4.33,l,34.008,-116.458,6,C,3358326,17,0
2839,387,7/25/47,19:49.5,le,5.24,l,34.03,-116.406,6,C,3358256,18,0
2846,394,7/25/47,14:53.1,le,4.27,l,34.048,-116.472,6,C,3358265,18,0
2849,397,7/26/47,24:14.9,le,4.02,l,33.947,-116.449,6,C,3358270,19,0
2850,398,7/26/47,49:42.5,le,4.95,l,33.987,-116.504,6,C,3358272,21,0
2856,404,7/26/47,04:26.0,le,4.25,l,34.049,-116.504,6,C,3358278,25,0
2904,452,8/13/47,09:00.6,le,4.36,l,35.041,-117.019,6,C,3358106,22,0
3001,549,11/10/47,22:56.4,le,4.3,l,34.498,-116.526,6,C,3358054,35,0
3011,559,11/18/47,59:05.8,le,4.96,l,33.172,-119.457,6,C,3358068,33,0
3092,34,2/11/48,29:29.1,le,4.49,l,36.056,-118.835,6,C,3357776,24,0
3111,53,2/24/48,15:10.5,le,5.2,l,32.498,-118.585,6,C,3357743,23,0
3119,61,2/27/48,21:35.7,le,4.65,l,32.434,-118.586,6,C,3357728,36,0
3123,65,3/1/48,12:13.5,le,4.6,l,34.266,-117.474,2.5,A,3357723,29,0
3178,120,4/16/48,26:25.3,le,4.55,l,33.9,-118.985,6,C,3357617,29,0
3263,205,7/26/48,50:01.8,le,4.42,l,35.586,-118.114,6,C,3357595,31,0
3312,254,9/29/48,06:49.3,le,4.13,l,35.518,-118.834,6,C,3356953,31,0
3377,319,12/4/48,43:16.4,le,6,w,33.983,-116.331,6,C,9860350,11,0
3381,323,12/5/48,07:20.6,le,4.73,l,33.922,-116.365,6,C,3356624,21,0
3385,327,12/5/48,42:34.9,le,4.48,l,33.97,-116.406,6,C,3356626,18,0
3387,329,12/5/48,50:57.8,le,4.21,l,33.95,-116.513,6,C,3356628,19,0
3415,357,12/6/48,46:07.6,le,4.13,l,33.988,-116.468,6,C,3356909,26,0
3475,417,12/10/48,42:57.3,le,4.33,l,33.931,-116.452,6,C,3356357,33,0
3491,433,12/11/48,12:19.2,le,4.29,l,33.98,-116.426,6,C,3356375,34,0
3523,465,12/18/48,45:17.8,le,4.3,l,34.977,-116.948,6,C,3356416,26,0
3552,4,1/3/49,43:39.2,le,4.5,l,34.965,-116.476,6,C,3356179,19,0
3633,85,3/20/49,34:50.0,le,4.29,l,35.145,-117.065,6,C,3356103,31,0
3661,113,5/2/49,24:59.6,le,4.45,l,33.961,-115.742,6,C,3356149,30,0
3662,114,5/2/49,25:46.9,le,5.69,l,34,-115.696,6,C,3356151,26,0
3723,175,5/10/49,06:34.1,le,4.3,l,33.866,-115.352,6,C,3355997,33,0
3871,323,8/26/49,52:28.9,le,4.12,l,34.305,-120.8,6,D,3355657,25,0
3874,326,8/27/49,51:44.1,le,4.73,l,34.179,-120.778,6,C,3355694,30,0
3913,365,10/14/49,29:27.5,le,4.03,l,33.191,-116.466,6,C,3355538,30,0
3937,389,11/4/49,42:38.8,le,5.66,l,32.127,-116.75,6,C,3355574,26,0
3981,433,11/11/49,54:01.6,le,4.08,l,32.247,-116.547,6,C,3354776,22,0
4109,75,2/26/50,06:22.3,le,4.49,l,34.776,-119.089,6,C,3366626,24,0
4154,120,4/15/50,56:33.3,le,4.4,l,35.877,-119.692,6,C,3366677,21,0
4233,199,7/27/50,54:18.1,le,4.27,l,32.9,-115.241,6,C,3344208,22,0
4234,200,7/27/50,29:24.6,le,4.76,l,33.022,-115.513,6,C,3344212,21,0
4237,203,7/27/50,02:11.2,le,4.19,l,33,-115.5,6,D,3344213,12,0
4241,207,7/27/50,50:48.5,le,4.31,l,33.032,-115.576,6,D,3344227,19,0
