"","X","YYYY.MM.DD","HH.mm.SS.ss","ET","MAG","M","LAT","LON","DEPTH","Q","EVID","NPH","NGRM"
"372860",10752,"1998/10/01","18:18:15.96","le",4.63,"l",34.111,-116.92,4.4,"A",7112721,150,0
"373634",11526,"1998/10/27","01:08:40.65","le",4.82,"l",34.323,-116.844,5.9,"A",9069997,173,0
"379564",3901,"1999/05/14","07:54:03.19","le",4.93,"l",34.062,-116.366,1.9,"A",9086596,134,0
"380403",4740,"1999/06/01","15:18:02.67","le",4.92,"l",32.379,-115.243,6,"C",9090222,48,0
"383685",8022,"1999/09/10","13:40:02.18","le",4.8,"l",32.272,-115.233,6,"C",9104506,49,0
"385003",9340,"1999/10/16","09:46:44.13","le",7.1,"w",34.594,-116.271,0,"A",9108652,55,0
"385004",9341,"1999/10/16","09:47:43.76","le",4.7,"h",33.232,-115.66,6,"D",3327063,11,0
"385006",9343,"1999/10/16","09:51:48.33","le",4.77,"l",34.445,-116.264,0.3,"A",3320846,51,0
"385008",9345,"1999/10/16","09:52:53.97","le",4.98,"l",34.502,-116.203,6,"C",3320847,22,0
"385017",9354,"1999/10/16","09:59:35.39","le",5.77,"l",34.678,-116.29,15.3,"A",3320848,70,0
"385023",9360,"1999/10/16","10:08:04.37","le",4.74,"l",34.706,-116.341,1.6,"A",9108676,38,0
"385034",9371,"1999/10/16","10:20:52.66","le",4.76,"l",34.362,-116.148,0.1,"A",9108709,56,0
"385071",9408,"1999/10/16","11:26:05.38","le",4.63,"l",34.813,-116.341,6,"D",9108775,34,0
"385107",9444,"1999/10/16","12:57:21.06","le",5.37,"w",34.441,-116.252,2,"A",3320736,63,0
"385255",9592,"1999/10/16","17:38:48.65","le",4.58,"w",34.43,-116.252,0,"A",9109254,92,0
"385328",9665,"1999/10/16","20:13:37.64","le",4.64,"l",34.689,-116.28,1.3,"A",9109442,75,0
"385329",9666,"1999/10/16","20:14:10.17","le",4.53,"l",34.686,-116.269,0,"A",3321577,21,0
"385409",9746,"1999/10/16","22:53:41.27","le",4.53,"l",34.708,-116.356,6,"C",9109636,82,0
"386039",10376,"1999/10/18","06:35:47.36","le",4.59,"l",34.359,-116.149,0,"A",9111353,80,0
"387225",11562,"1999/10/21","01:54:06.64","le",4.99,"w",34.867,-116.393,4,"A",3320883,49,0
"387226",11563,"1999/10/21","01:54:29.20","le",4.98,"w",34.86,-116.404,0.4,"B",3321595,18,0
"387227",11564,"1999/10/21","01:54:34.17","le",4.98,"w",34.874,-116.391,1,"A",3321590,56,0
"387228",11565,"1999/10/21","01:57:38.77","le",4.51,"w",34.863,-116.395,3.5,"A",3320884,116,0
"387707",12044,"1999/10/22","16:08:48.05","le",4.99,"w",34.865,-116.409,0.9,"A",9114812,140,0
"388523",12860,"1999/10/25","18:26:00.63","le",4.63,"l",34.617,-116.243,0.3,"A",3321011,59,0
"404558",7877,"2000/05/02","06:45:45.04","le",4.73,"w",32.111,-115.119,6,"C",9149178,45,0
"407244",10563,"2000/06/14","21:49:18.71","le",4.51,"l",32.89,-115.509,10,"C",9154141,40,0
"407966",11285,"2000/06/26","15:43:07.55","le",4.51,"l",34.782,-116.297,4.3,"A",9155518,92,0
"418485",1434,"2001/02/10","21:05:05.78","le",4.66,"w",34.289,-116.946,9.1,"A",9627721,249,0
"424636",7585,"2001/07/17","12:07:26.10","le",5.17,"w",36.016,-117.874,3,"A",9674049,106,0
"424703",7652,"2001/07/17","12:59:59.17","le",4.93,"w",36.017,-117.882,0.4,"A",9674213,189,0
"432673",15622,"2001/10/31","07:56:16.63","le",5.02,"w",33.508,-116.514,15.2,"A",9718013,116,0
"434487",17436,"2001/12/09","01:42:26.45","le",4.89,"l",32.004,-115.01,7.1,"C",9732973,20,0
"437043",1848,"2002/02/22","19:32:41.75","le",5.7,"w",32.319,-115.322,7,"C",12456384,32,0
"438370",3175,"2002/03/16","21:33:23.82","le",4.6,"l",33.666,-119.33,7,"C",12659440,75,0
"440023",4828,"2002/05/14","05:00:26.12","re",5,"w",36.926,-121.822,0,"D",13075448,52,0
"440946",5751,"2002/06/14","12:40:45.36","le",4.58,"w",36.716,-116.293,9.9,"B",13657604,34,0
"443472",8277,"2002/09/03","07:08:51.87","le",4.75,"l",33.917,-117.776,12.9,"A",9818433,245,0
"445218",10023,"2002/10/29","14:16:54.08","le",4.77,"l",34.803,-116.266,4.6,"A",9854597,57,0
"446493",11298,"2002/12/10","21:04:00.69","le",4.84,"l",32.232,-115.798,7,"C",13917260,54,0
"447972",915,"2003/01/25","09:16:10.22","le",4.54,"l",35.318,-118.654,5.6,"C",9882329,100,0
"448970",1913,"2003/02/22","12:19:10.58","le",4.99,"w",34.31,-116.848,1.2,"A",13935988,202,0
"449391",2334,"2003/02/25","04:03:04.80","le",4.61,"l",34.316,-116.844,2.7,"A",13938812,230,0
"450165",3108,"2003/03/11","19:28:17.91","le",4.64,"l",34.359,-116.133,3.9,"A",13945908,153,0
"458152",11095,"2003/12/22","19:15:56.76","re",6.48,"w",35.709,-121.104,7,"C",9966449,15,0
"458154",11097,"2003/12/22","19:53:30.20","re",4.69,"l",35.651,-121.072,7,"C",9966477,10,0
"458268",11211,"2003/12/23","18:17:11.75","re",4.63,"l",35.649,-121.066,5.6,"C",9967901,11,0
"464288",5685,"2004/06/15","22:28:48.16","le",4.98,"w",32.329,-117.918,10,"C",14065544,100,0
"467192",8589,"2004/08/30","04:30:57.07","re",4.61,"l",36.493,-121.313,5.9,"D",14088052,89,0
"468127",9524,"2004/09/28","17:15:25.09","re",6,"w",35.812,-120.379,5.5,"C",14094992,185,0
"468128",9525,"2004/09/28","17:24:15.40","re",4.91,"l",35.797,-120.36,0,"A",14094996,103,0
"468173",9570,"2004/09/29","17:10:04.96","re",5.04,"w",35.886,-120.506,0,"D",14095540,179,0
"468182",9579,"2004/09/29","22:54:54.24","le",5.03,"w",35.39,-118.624,3.5,"A",14095628,246,0
"468287",9684,"2004/09/30","18:54:30.28","re",4.89,"w",35.912,-120.533,2.2,"D",14096196,179,0
"470091",11488,"2004/11/29","01:54:14.30","re",4.59,"l",35.996,-120.515,9.2,"B",10063349,149,0
"473519",2640,"2005/04/16","19:18:13.55","le",4.59,"w",35.027,-119.178,10.3,"A",14138080,292,0
"474617",3738,"2005/05/16","07:24:38.07","re",4.65,"l",35.889,-120.475,0.3,"D",10100053,163,0
"475423",4544,"2005/06/12","15:41:46.54","le",5.2,"w",33.529,-116.573,14.2,"A",14151344,296,0
"476189",5310,"2005/06/16","20:53:26.02","le",4.88,"w",34.058,-117.011,11.6,"A",14155260,326,0
"479367",8488,"2005/08/31","22:47:45.64","le",4.59,"l",33.165,-115.636,4,"C",14178184,37,0
"479797",8918,"2005/09/02","01:27:19.81","le",5.11,"w",33.16,-115.637,9.8,"A",14179736,58,0
"481061",10182,"2005/09/22","20:24:48.62","le",4.69,"w",35.043,-119.014,11,"A",14186612,208,0
"482005",11126,"2005/10/16","21:11:35.01","le",4.99,"l",32.455,-118.163,10,"C",10147909,129,0
"488261",4159,"2006/05/24","04:20:26.01","le",5.37,"w",32.307,-115.228,6,"C",12245763,29,0
"493622",9520,"2006/11/03","15:56:43.05","le",4.62,"l",32.676,-116.048,13.7,"A",10215753,119,0
"502129",6829,"2007/08/09","07:58:49.59","le",4.66,"l",34.3,-118.62,7.6,"A",14312160,303,0
"503056",7756,"2007/09/02","17:29:14.79","le",4.73,"l",33.732,-117.477,12.6,"A",10275733,352,0
"507845",1057,"2008/02/09","07:12:04.55","le",5.1,"w",32.359,-115.277,6,"D",14346868,201,0
"508162",1374,"2008/02/11","18:29:30.53","le",5.1,"w",32.327,-115.257,6,"C",14348196,91,0
"508266",1478,"2008/02/12","04:32:39.24","le",4.97,"w",32.447,-115.317,6,"C",14348588,63,0
"508824",2036,"2008/02/19","22:41:29.66","le",5.01,"w",32.432,-115.313,6,"C",14351140,54,0
"508864",2076,"2008/02/20","01:28:55.45","le",4.83,"l",32.426,-115.306,6,"C",14351300,62,0
"509013",2225,"2008/02/22","19:31:18.48","le",4.78,"l",32.421,-115.285,6,"C",14352012,66,0
"509014",2226,"2008/02/22","19:33:52.14","le",4.58,"l",32.39,-115.27,6,"C",12330895,49,0
"514969",8181,"2008/07/29","18:42:15.71","le",5.39,"w",33.953,-117.761,14.7,"A",14383980,366,0
"516332",9544,"2008/09/05","21:54:33.59","le",4.63,"l",32.347,-115.23,15,"C",10347253,76,0
"519040",12252,"2008/11/20","19:23:00.19","le",4.98,"l",32.329,-115.332,6,"C",14404512,103,0
"519822",13034,"2008/12/06","04:18:42.85","le",5.06,"w",34.813,-116.419,7.3,"A",14408052,298,0
"520759",13971,"2008/12/28","05:17:07.47","le",4.52,"l",32.568,-115.543,10,"C",10368325,99,0
"523795",2917,"2009/03/24","11:55:43.93","le",4.77,"l",33.317,-115.728,6,"A",14433456,144,0
"526457",5579,"2009/05/18","03:39:36.34","le",4.7,"w",33.938,-118.336,13.9,"A",10410337,294,0
"526712",5834,"2009/05/23","22:58:32.94","le",4.73,"l",36.396,-117.838,1.1,"A",14462064,212,0
"531681",10803,"2009/09/19","22:55:17.84","le",5.08,"w",32.371,-115.261,10,"C",14512436,105,0
"532234",11356,"2009/10/01","10:01:24.67","le",5,"w",36.388,-117.859,5.6,"C",14517500,94,0
"532488",11610,"2009/10/03","01:09:19.14","le",4.74,"l",36.391,-117.864,2.5,"A",14519756,66,0
"532489",11611,"2009/10/03","01:10:26.10","le",4.85,"l",36.386,-117.868,3.6,"C",14519764,57,0
"532491",11613,"2009/10/03","01:16:00.31","le",5.19,"w",36.391,-117.861,0,"A",14519780,73,0
"532598",11720,"2009/10/03","05:31:57.72","le",4.66,"l",36.39,-117.864,1.9,"A",14520476,81,0
"535244",14366,"2009/11/16","21:21:30.63","le",4.6,"l",35.548,-117.275,2.2,"A",10497821,235,0
"537493",16615,"2009/12/30","18:48:57.33","le",5.8,"w",32.464,-115.189,6,"C",14565620,116,0
"537495",16617,"2009/12/30","18:53:23.96","le",4.77,"l",32.532,-115.208,6,"C",14565636,30,0
"542080",4422,"2010/04/04","22:40:42.36","le",7.2,"w",32.286,-115.295,10,"C",14607652,11,0
"542081",4423,"2010/04/04","22:43:00.43","le",5.26,"l",32.453,-115.632,10,"C",10184394,24,0
"542089",4431,"2010/04/04","22:50:17.12","le",5.7,"w",32.099,-115.048,10,"C",31957759,16,0
"542101",4443,"2010/04/04","23:09:40.11","le",4.79,"l",32.204,-115.333,10,"C",14607820,26,0
"542105",4447,"2010/04/04","23:15:14.24","le",5.43,"w",32.3,-115.26,10,"C",14607836,16,0
"542106",4448,"2010/04/04","23:17:13.08","le",4.56,"l",32.221,-115.291,10,"C",10169094,11,0
"542116",4458,"2010/04/04","23:25:07.19","le",5.38,"w",32.266,-115.293,10,"C",14607924,56,0
"542122",4464,"2010/04/04","23:37:33.49","le",4.7,"l",32.462,-115.598,10,"C",14607972,44,0
"542242",4584,"2010/04/05","01:25:34.67","le",4.64,"w",32.145,-115.115,10,"C",30213759,28,0
"542273",4615,"2010/04/05","01:52:25.42","le",4.68,"l",32.593,-115.773,4.1,"A",14608980,64,0
"542324",4666,"2010/04/05","02:47:27.41","le",4.51,"l",32.285,-115.302,10,"C",30389759,22,0
"542354",4696,"2010/04/05","03:15:24.77","le",4.96,"l",32.647,-115.805,1.3,"A",14609660,119,0
"542825",5167,"2010/04/05","11:14:14.89","le",4.93,"w",32.664,-115.809,13.7,"A",14612516,127,0
"542993",5335,"2010/04/05","13:33:05.36","le",4.73,"w",32.64,-115.802,0,"A",14613212,119,0
"543604",5946,"2010/04/06","01:23:00.82","le",4.51,"l",32.215,-115.072,10,"C",14616380,8,0
"543741",6083,"2010/04/06","04:12:21.26","le",4.56,"l",32.594,-115.774,4,"A",14617100,54,0
"544096",6438,"2010/04/06","10:06:37.75","le",4.51,"l",32.665,-115.811,1.8,"A",14618772,56,0
"545994",8336,"2010/04/08","02:47:57.00","le",4.52,"l",32.687,-115.755,4.2,"A",10585381,64,0
"546769",9111,"2010/04/08","16:44:25.01","le",5.29,"w",32.165,-115.268,10,"C",10589037,45,0
"548089",10431,"2010/04/09","23:05:42.00","le",4.7,"w",32.182,-115.245,12.8,"B",10595133,54,0
"548784",11126,"2010/04/11","16:42:03.35","le",4.61,"l",32.278,-115.32,28.7,"A",10602453,50,0
"549705",12047,"2010/04/15","10:20:47.22","le",4.85,"l",32.069,-115.045,13,"B",10612285,36,0
"551618",13960,"2010/04/22","14:22:03.39","le",4.6,"l",32.67,-115.807,5,"A",10629213,123,0
"551669",14011,"2010/04/22","17:12:13.05","le",4.63,"l",32.66,-115.808,5.3,"A",10629477,127,0
"553067",15409,"2010/04/27","10:55:35.72","le",4.83,"l",32.692,-115.847,3.3,"A",14682004,139,0
"554506",16848,"2010/05/04","11:26:32.05","le",4.68,"l",32.264,-115.287,14.7,"B",14692836,59,0
"555407",17749,"2010/05/08","18:33:10.75","le",4.8,"w",32.681,-115.797,6,"C",10657533,77,0
"555413",17755,"2010/05/08","18:46:27.46","le",4.68,"w",32.675,-115.81,2.4,"A",10657549,48,0
"556578",18920,"2010/05/15","08:38:54.37","le",4.52,"l",32.181,-115.254,19.6,"B",10667013,30,0
"557217",19559,"2010/05/19","00:38:59.81","le",4.53,"w",32.664,-115.826,8.9,"A",10671989,53,0
"557865",20207,"2010/05/22","17:30:58.17","le",4.9,"w",32.616,-115.757,8.1,"A",14718756,45,0
"557866",20208,"2010/05/22","17:33:17.90","le",4.88,"l",32.622,-115.771,4.7,"A",14718764,39,0
"560776",23118,"2010/06/13","03:08:57.09","le",4.9,"l",33.383,-116.416,12.5,"A",10701405,170,0
"561015",23357,"2010/06/14","07:02:26.83","le",4.7,"l",32.172,-115.313,10,"C",10703133,33,0
"561120",23462,"2010/06/15","04:26:58.48","le",5.72,"w",32.7,-115.921,5.4,"A",14745580,109,0
"561169",23511,"2010/06/15","04:59:45.53","le",4.61,"l",32.7,-115.95,10.7,"A",14745932,95,0
"564852",27194,"2010/07/07","23:53:33.53","le",5.43,"w",33.42,-116.489,14,"A",10736069,154,0
"571356",33698,"2010/09/14","10:52:18.00","le",4.96,"w",32.048,-115.198,10,"C",10798005,72,0
"571433",33775,"2010/09/15","06:09:53.38","le",4.79,"l",32.165,-115.247,13.8,"B",10798845,27,0
"571774",34116,"2010/09/20","00:30:02.40","le",4.75,"w",32.026,-115.108,10,"C",14844244,26,0
"574284",36626,"2010/11/04","19:39:59.55","le",4.57,"l",32.864,-115.997,13.4,"A",10832573,151,0
"576162",38504,"2010/12/11","12:52:26.31","le",4.87,"l",32.163,-115.264,13.1,"B",14895612,41,0
"579526",2292,"2011/02/18","17:47:35.77","le",5.07,"w",32.047,-115.062,15,"C",14937372,63,0
"594624",1807,"2012/02/14","10:09:28.44","le",4.87,"w",32.199,-115.209,10,"C",11066877,28,0
"600532",7715,"2012/07/01","03:25:20.45","le",4.64,"w",32.207,-115.343,3.2,"C",11129826,18,0
"600541",7724,"2012/07/01","06:36:06.35","le",4.65,"w",32.213,-115.289,10,"C",11129914,16,0
"602951",10134,"2012/08/26","19:20:04.81","le",4.59,"w",33.016,-115.536,4.7,"A",15199593,27,0
"602964",10147,"2012/08/26","19:31:23.04","le",5.32,"w",33.017,-115.554,8.3,"A",15199681,94,0
"602965",10148,"2012/08/26","19:33:01.09","le",4.89,"w",33.014,-115.559,4.3,"A",15199689,56,0
"603049",10232,"2012/08/26","20:57:58.22","le",5.44,"w",33.019,-115.54,8.2,"A",15200401,56,0
"603188",10371,"2012/08/26","23:33:25.13","le",4.61,"w",33.028,-115.531,7.4,"A",15201537,98,0
"603353",10536,"2012/08/27","04:41:37.00","le",4.9,"w",33.021,-115.519,4.1,"A",15202921,47,0
"606331",13514,"2012/10/21","06:55:09.93","re",5.3,"h",36.324,-120.847,15.8,"C",15233041,53,0
"612638",2629,"2013/03/11","16:56:06.04","le",4.7,"h",33.502,-116.457,13.1,"A",15296281,141,0
"618341",8332,"2013/05/29","14:38:03.27","le",4.8,"w",34.413,-119.926,8,"A",15350729,39,0
