DEPTH,ET,EVID,HH:mm:SS.ss,LAT,LON,M,MAG,NGRM,NPH,Q,YYYY/MM/DD
5.5,le,9076081.0,20:12:12.47,32.713,-115.908,l,2.3,0.0,25.0,A,1999/01/16
6.0,le,9114601.0,05:42:56.46,32.338,-115.14,c,2.37,0.0,11.0,C,1999/10/22
0.1,le,9116574.0,04:29:02.59,34.626,-116.242,l,3.18,0.0,47.0,A,1999/10/26
5.6,le,3321417.0,00:40:47.35,34.346,-116.636,h,1.7,0.0,9.0,C,1999/11/13
4.2,le,9123698.0,10:06:43.43,33.747,-116.038,h,1.6,0.0,16.0,A,1999/11/18
1.1,le,9076807.0,01:29:52.80,34.39,-116.466,c,1.96,0.0,18.0,A,1999/01/26
4.8,le,9127036.0,06:50:39.91,34.651,-116.298,h,1.5,0.0,12.0,A,1999/12/04
3.5,le,9117876.0,09:26:56.57,35.041,-117.09,h,1.5,0.0,7.0,D,1999/10/29
3.6,le,9083242.0,21:10:47.17,35.935,-117.646,c,1.31,0.0,9.0,A,1999/04/12
10.0,le,9121615.0,10:14:17.02,34.621,-116.549,c,1.74,0.0,18.0,A,1999/11/10
3.4,le,9126529.0,16:42:39.16,34.845,-116.347,c,2.27,0.0,23.0,A,1999/12/01
1.8,le,9078255.0,15:45:30.62,36.011,-117.81,c,1.05,0.0,10.0,B,1999/02/15
17.1,le,9093539.0,17:36:01.35,33.173,-116.404,h,1.3,0.0,16.0,D,1999/06/26
3.4,le,9088046.0,23:10:01.93,33.788000000000004,-117.905,l,1.92,0.0,23.0,B,1999/05/18
0.0,qb,9121447.0,20:12:17.86,35.045,-117.683,c,1.77,0.0,13.0,A,1999/11/09
0.0,le,9111837.0,18:29:46.98,34.455,-116.312,l,2.16,0.0,23.0,A,1999/10/18
2.9,le,9131184.0,12:25:33.19,34.586,-116.235,h,1.4,0.0,10.0,A,1999/12/28
0.0,le,9077037.0,05:09:03.57,33.274,-116.024,c,1.47,0.0,9.0,C,1999/01/29
7.2,le,9113385.0,03:45:30.18,34.848,-116.313,h,1.8,0.0,10.0,B,1999/10/20
6.0,le,9514933.0,05:30:06.00,34.62,-116.05,b,1.9,0.0,0.0,Z,1999/11/23
15.5,le,9085492.0,23:00:10.95,34.079,-117.844,c,1.63,0.0,16.0,A,1999/05/03
12.2,le,9084308.0,05:59:50.68,33.66,-116.759,l,1.67,0.0,13.0,C,1999/04/22
2.5,le,9104984.0,18:26:46.88,33.96,-116.679,c,1.57,0.0,13.0,C,1999/09/14
2.6,le,9107887.0,11:43:21.60,36.00199999999999,-117.803,h,1.3,0.0,10.0,B,1999/10/10
2.5,le,9124955.0,12:36:54.51,34.847,-116.3,c,1.93,0.0,9.0,B,1999/11/24
0.5,le,9113671.0,16:56:16.33,34.431,-116.267,c,1.93,0.0,7.0,C,1999/10/20
7.4,le,9092305.0,23:40:38.06,34.973,-117.021,l,2.51,0.0,45.0,A,1999/06/16
14.1,le,9099218.0,12:58:53.72,34.355,-118.649,c,1.44,0.0,15.0,B,1999/08/04
0.0,qb,9091099.0,20:02:01.37,35.91300000000001,-117.731,n,1.7,0.0,7.0,C,1999/06/07
4.0,le,9120126.0,06:59:05.47,34.437,-116.243,c,1.83,0.0,16.0,A,1999/11/05
0.0,qb,9079784.0,23:08:23.89,33.667,-117.161,c,1.58,0.0,13.0,C,1999/03/04
12.4,le,9101384.0,02:22:55.69,33.037,-115.563,h,1.8,0.0,12.0,A,1999/08/18
5.7,le,9089422.0,08:32:20.90,35.338,-118.638,h,1.3,0.0,12.0,C,1999/05/27
5.7,le,9131246.0,20:11:28.38,34.444,-116.226,c,1.84,0.0,13.0,B,1999/12/28
0.0,le,9118790.0,00:17:06.54,34.621,-116.262,h,1.9,0.0,14.0,A,1999/11/01
16.2,le,9127824.0,01:00:11.17,34.019,-117.203,c,1.34,0.0,16.0,A,1999/12/08
4.5,le,9120509.0,11:28:56.85,34.592,-116.278,l,2.1,0.0,37.0,A,1999/11/06
6.0,le,9125286.0,01:37:12.59,33.363,-116.39,l,1.69,0.0,22.0,C,1999/11/26
9.0,le,9125044.0,22:16:00.96,34.837,-116.402,h,1.4,0.0,8.0,A,1999/11/24
1.1,le,9125989.0,06:14:13.43,36.0,-117.785,c,1.1,0.0,10.0,A,1999/11/29
5.5,le,9128381.0,18:54:48.20,34.632,-116.312,c,1.75,0.0,15.0,A,1999/12/10
19.3,le,9131463.0,14:42:19.21,34.024,-117.301,h,1.1,0.0,11.0,D,1999/12/29
12.9,le,9096664.0,23:46:50.06,33.635,-116.719,l,1.81,0.0,21.0,B,1999/07/19
0.0,qb,9079641.0,23:18:24.48,33.705,-117.16,c,1.49,0.0,9.0,C,1999/03/02
6.0,le,9086410.0,22:22:40.83,36.078,-117.621,h,0.9,0.0,10.0,C,1999/05/11
1.0,le,9118447.0,01:33:54.60,34.604,-116.293,l,2.59,0.0,49.0,A,1999/10/31
2.3,le,9131673.0,13:39:53.76,34.615,-116.287,h,1.1,0.0,9.0,B,1999/12/30
2.5,le,9121926.0,14:57:24.13,36.035,-117.759,c,1.18,0.0,9.0,A,1999/11/11
5.5,le,7158810.0,01:12:07.78,34.547,-116.254,c,1.64,0.0,13.0,C,1999/11/03
3.0,le,9095602.0,01:50:44.66,34.48,-116.517,c,1.65,0.0,21.0,A,1999/07/12
10.4,le,9120991.0,05:32:55.53,34.115,-117.03,h,1.8,0.0,17.0,A,1999/11/08
9.3,le,9107954.0,16:06:01.45,34.158,-117.463,h,1.0,0.0,31.0,A,1999/10/10
4.9,le,9095643.0,09:29:16.17,35.729,-118.478,c,1.5,0.0,19.0,A,1999/07/12
9.1,le,9085365.0,10:03:37.67,32.589,-116.147,h,1.0,0.0,8.0,B,1999/05/02
2.5,le,9105960.0,15:37:23.62,35.978,-117.646,c,1.21,0.0,11.0,B,1999/09/23
12.6,le,9129816.0,06:08:52.12,34.584,-116.281,h,1.3,0.0,11.0,B,1999/12/19
11.1,le,9079079.0,05:17:00.91,35.762,-117.979,c,1.09,0.0,18.0,A,1999/02/24
1.4,le,9109114.0,15:53:04.60,34.663000000000004,-116.296,l,3.07,0.0,29.0,A,1999/10/16
1.0,le,3321045.0,11:34:10.41,34.798,-116.381,c,2.15,0.0,13.0,A,1999/10/27
12.8,le,9095462.0,14:36:33.05,33.358000000000004,-116.902,h,1.1,0.0,10.0,C,1999/07/11
0.0,qb,9078954.0,00:26:58.72,33.657,-117.051,c,1.46,0.0,10.0,C,1999/02/23
0.0,qb,9101153.0,22:28:47.14,33.679,-117.021,l,2.06,0.0,31.0,C,1999/08/16
0.0,le,9124351.0,03:55:06.73,34.681,-116.359,h,1.8,0.0,9.0,C,1999/11/21
1.1,le,9114924.0,19:20:26.96,34.248000000000005,-116.463,l,2.89,0.0,69.0,A,1999/10/22
1.1,le,9121903.0,12:14:29.59,34.852,-116.421,c,1.91,0.0,13.0,A,1999/11/11
9.1,le,9091879.0,21:25:45.22,34.142,-117.721,l,1.85,0.0,19.0,B,1999/06/14
1.8,le,9113112.0,21:34:03.06,34.791,-116.366,c,2.56,0.0,15.0,A,1999/10/19
0.0,le,9080473.0,05:57:11.70,34.391,-116.452,c,1.42,0.0,14.0,A,1999/03/13
0.2,le,3317413.0,18:01:49.34,34.039,-116.35,h,1.3,0.0,10.0,C,1999/05/14
4.1,le,9081838.0,15:08:11.43,36.026,-117.774,h,0.9,0.0,10.0,A,1999/03/27
4.8,le,9125505.0,01:30:05.16,34.468,-116.232,h,1.4,0.0,9.0,A,1999/11/27
4.4,le,9130853.0,03:26:18.44,34.812,-116.332,w,1.6,0.0,7.0,C,1999/12/26
